STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:190770,BOSTON MA US,19480713 15:00,0.51, , 
COOP:190770,BOSTON MA US,19480713 16:00,0.25, , 
COOP:190770,BOSTON MA US,19480713 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480713 23:00,6.1, , 
COOP:190770,BOSTON MA US,19480714 00:00,0.51, , 
COOP:190770,BOSTON MA US,19480714 01:00,1.27, , 
COOP:190770,BOSTON MA US,19480714 02:00,0.76, , 
COOP:190770,BOSTON MA US,19480714 03:00,3.3, , 
COOP:190770,BOSTON MA US,19480714 04:00,2.03, , 
COOP:190770,BOSTON MA US,19480722 00:00,14.99, , 
COOP:190770,BOSTON MA US,19480722 01:00,4.06, , 
COOP:190770,BOSTON MA US,19480722 02:00,0.76, , 
COOP:190770,BOSTON MA US,19480722 03:00,0.76, , 
COOP:190770,BOSTON MA US,19480722 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480723 16:00,1.52, , 
COOP:190770,BOSTON MA US,19480723 17:00,3.81, , 
COOP:190770,BOSTON MA US,19480723 18:00,12.45, , 
COOP:190770,BOSTON MA US,19480723 19:00,1.27, , 
COOP:190770,BOSTON MA US,19480723 20:00,0.51, , 
COOP:190770,BOSTON MA US,19480723 21:00,3.05, , 
COOP:190770,BOSTON MA US,19480723 22:00,0.25, , 
COOP:190770,BOSTON MA US,19480727 01:00,0.25, , 
COOP:190770,BOSTON MA US,19480727 02:00,6.86, , 
COOP:190770,BOSTON MA US,19480727 03:00,3.3, , 
COOP:190770,BOSTON MA US,19480727 07:00,0.25, , 
COOP:190770,BOSTON MA US,19480727 10:00,1.27, , 
COOP:190770,BOSTON MA US,19480728 14:00,0.25, , 
COOP:190770,BOSTON MA US,19480801 01:00,0,g, 
COOP:190770,BOSTON MA US,19480802 16:00,3.3, , 
COOP:190770,BOSTON MA US,19480802 18:00,0.25, , 
COOP:190770,BOSTON MA US,19480806 04:00,0.25, , 
COOP:190770,BOSTON MA US,19480806 12:00,0.25, , 
COOP:190770,BOSTON MA US,19480806 17:00,0.25, , 
COOP:190770,BOSTON MA US,19480812 04:00,6.1, , 
COOP:190770,BOSTON MA US,19480812 05:00,2.79, , 
COOP:190770,BOSTON MA US,19480812 08:00,1.27, , 
COOP:190770,BOSTON MA US,19480812 09:00,0.76, , 
COOP:190770,BOSTON MA US,19480812 10:00,0.25, , 
COOP:190770,BOSTON MA US,19480812 14:00,0.51, , 
COOP:190770,BOSTON MA US,19480814 17:00,3.3, , 
COOP:190770,BOSTON MA US,19480814 18:00,0.25, , 
COOP:190770,BOSTON MA US,19480817 21:00,1.02, , 
COOP:190770,BOSTON MA US,19480817 22:00,1.78, , 
COOP:190770,BOSTON MA US,19480817 23:00,2.03, , 
COOP:190770,BOSTON MA US,19480818 00:00,0.25, , 
COOP:190770,BOSTON MA US,19480830 18:00,0.25, , 
COOP:190770,BOSTON MA US,19480830 23:00,2.79, , 
COOP:190770,BOSTON MA US,19480831 00:00,1.02, , 
COOP:190770,BOSTON MA US,19480831 09:00,2.54, , 
COOP:190770,BOSTON MA US,19480831 19:00,0.25, , 
COOP:190770,BOSTON MA US,19480901 01:00,0,g, 
COOP:190770,BOSTON MA US,19480909 23:00,0.25, , 
COOP:190770,BOSTON MA US,19480910 18:00,0.51, , 
COOP:190770,BOSTON MA US,19480910 20:00,0.25, , 
COOP:190770,BOSTON MA US,19480910 21:00,0.25, , 
COOP:190770,BOSTON MA US,19480918 17:00,6.6, , 
COOP:190770,BOSTON MA US,19480920 06:00,2.54, , 
COOP:190770,BOSTON MA US,19480920 12:00,0.25, , 
